Contas Contábeis;Valores;Mês;;;
INSTALAÇAO E MANUTENÇÃO DE CERCAS;21288,55;JULHO;;;
FORMAÇÃO,MANUTENÇÃO E RECUPERAÇÃO DE PASTAGEM;66174,00;JULHO;;;
PRODUÇÃO SILAGEM;29132,29;JULHO;;;
EDIFICIOS E CONSTRUÇOES;10813,00;JULHO;;;
;;JULHO;;;
DESPESAS FINANCEIRAS;1247,67;JULHO;;;
;;JULHO;;;
DESPESAS BANCARIAS;1247,67;JULHO;;;
JUROS PAGOS;0,00;JULHO;;;
JUROS S/EMPRESTIMOS E FINANCIAMENTOS;0,00;JULHO;;;
;;JULHO;;;
LUCRO LIQUIDO DO PERIODO;693757,16;JULHO;;;
Ativo Total;7838320,31;AGOSTO;;;
Ativo Circulante;1419285,25;AGOSTO;;;
Caixa;0,00;AGOSTO;;;
Caixa Administrativo;0,00;AGOSTO;;;
Banco c/Movimento;21344,78;AGOSTO;;;
Banco Bradesco;3844,48;AGOSTO;;;
Banco do Nordeste;17500,30;AGOSTO;;;
Aplicação Financeira;614898,70;AGOSTO;;;
Banco Bradesco;614898,70;AGOSTO;;;
Banco do Nordeste;0,00;AGOSTO;;;
Contas a Receber;0,00;AGOSTO;;;
Cliente A;;AGOSTO;;;
Cliente B;;AGOSTO;;;
Cliente C;;AGOSTO;;;
Cliente D;;AGOSTO;;;
Estoque para Venda;771917,72;AGOSTO;;;
Bezerros - 0 a 12 Meses - Fazenda Escarlata;99899,92;AGOSTO;;;
Novilhos - 13 a 24 meses - Fazenda Escarlata;;AGOSTO;;;
Bezerras - 0 a 12 Meses - Fazenda Escarlata;;AGOSTO;;;
Novilhas - 13 a 24 meses - Fazenda Escarlata;;AGOSTO;;;
Vacas para Venda - Fazenda Escarlata;;AGOSTO;;;
Vacas para Venda - Fazenda Arianus II;636000,00;AGOSTO;;;
Bezerros - 0 a 12 Meses - Fazenda Arianus II;18523,44;AGOSTO;;;
Bezerras - 0 a 12 Meses - Fazenda Arianus II;17494,36;AGOSTO;;;
Estoque Operacional;0,00;AGOSTO;;;
Raçoes;;AGOSTO;;;
Medicamentos Veterinários;;AGOSTO;;;
Reproducao Animal;;AGOSTO;;;
Herbicidas;;AGOSTO;;;
Sementes;;AGOSTO;;;
Consorcio a Receber;11124,05;AGOSTO;;;
Consorcio Nacional Valtra;11124,05;AGOSTO;;;
Ativo Não Circulante;6419035,06;AGOSTO;;;
Imobilizado;6419035,06;AGOSTO;;;
Imobilizado em Operação;1903010,06;AGOSTO;;;
Vacas para Reprodução;1364000,00;AGOSTO;;;
Novilhas para Reprodução;420800,00;AGOSTO;;;
Bezerras - 0 a 12 Meses - Fazenda Escarlata;78210,06;AGOSTO;;;
Touros;40000,00;AGOSTO;;;
Maquinas e Equipamentos;519750,00;AGOSTO;;;
Ensiladeira FTN Area total ano 2022;77000,00;AGOSTO;;;
Silonog Nogueira ano 2022;92750,00;AGOSTO;;;
Vagão Forrageiro Nogueira ano 2022;100000,00;AGOSTO;;;
Trator MF 290 Ano 2005 4x2;100000,00;AGOSTO;;;
Trator John Deere 5078 E 2012 4x4;150000,00;AGOSTO;;;
Imóveis;4500000,00;AGOSTO;;;
Fazenda Escarlata;1500000,00;AGOSTO;;;
Fazenda Arianus II;3000000,00;AGOSTO;;;
Depreciação Acumulada;-503725,00;AGOSTO;;;
(-) Deprec. Vacas para Reprodução;-172800,00;AGOSTO;;;
(-) Deprec. Touros;;AGOSTO;;;
(-) Deprec. Cavalos;;AGOSTO;;;
(-) Deprec. Maquinas e Equipamentos;-330925,00;AGOSTO;;;
;;AGOSTO;;;
Passivo Total;7836686,55;AGOSTO;;;
Passivo Circulante;199849,05;AGOSTO;;;
Fornecedores;12105,00;AGOSTO;;;
Fornecedores de Mercadorias;3105,00;AGOSTO;;;
Fornecedores de Serviços;9000,00;AGOSTO;;;
Obrigaçoes Trabalhistas;15390,60;AGOSTO;;;
Salarios a Pagar;0,00;AGOSTO;;;
Inss a Pagar;325,40;AGOSTO;;;
Fgts a Pagar;485,76;AGOSTO;;;
Férias a Pagar;9782,60;AGOSTO;;;
Fgts s/Férias a Pagar;728,60;AGOSTO;;;
13 Salario a Pagar;3784,88;AGOSTO;;;
Fgts s/13 Salario a Pagar;283,36;AGOSTO;;;
Dividendos a Pagar;;AGOSTO;;;
Obrigaçoes Tributarias;10301,60;AGOSTO;;;
Simples Nacional a Pagar;;AGOSTO;;;
Parcelamentos Federais a Pagar;10301,60;AGOSTO;;;
Emprestimo e Financiamentos;162051,85;AGOSTO;;;
Emprestimo Banco do Nordeste;86625,00;AGOSTO;;;
Emprestimo Bradesco;75426,85;AGOSTO;;;
Passivo Não Circulante;133423,16;AGOSTO;;;
Emprestimo e Financiamentos;107025,00;AGOSTO;;;
Emprestimo Banco do Nordeste;107025,00;AGOSTO;;;
Emprestimo Bradesco;;AGOSTO;;;
Parcelamentos Impostos;26398,16;AGOSTO;;;
Parcelamentos Federais a Pagar;26398,16;AGOSTO;;;
Patrimonio Liquido;7503414,34;AGOSTO;;;
Capital Social Bela Vista Agropecuaria;200000,00;AGOSTO;;;
Lucro do Periodo;581457,70;AGOSTO;;;
Prejuizo do Periodo;-29469,85;AGOSTO;;;
Lucros e Prejuizos Acumulados;2251426,49;AGOSTO;;;
Patrimonio Disponível;4500000,00;AGOSTO;;;
RECEITA COM VENDAS;0,00;AGOSTO;;;
 ; ;AGOSTO;;;
SIMPLES NACIONAL;0,00;AGOSTO;;;
 ; ;AGOSTO;;;
RECEITA LIQUIDA DE VENDAS;0,00;AGOSTO;;;
 ; ;AGOSTO;;;
CUSTOS DAS MERCADORIAS VENDIDA;2309,00;AGOSTO;;;
 ; ;AGOSTO;;;
REMEDIOS VETERINARIOS;1405,00;AGOSTO;;;
NUTRIÇÃO ANIMAL;904,00;AGOSTO;;;
REPRODUÇÃO ANIMAL;0,00;AGOSTO;;;
 ; ;AGOSTO;;;
LUCRO BRUTO;2309,00;AGOSTO;;;
 ; ;AGOSTO;;;
DESPESAS OPERACIONAIS;37537,95;AGOSTO;;;
 ; ;AGOSTO;;;
DESPESA COM PESSOAL;10478,54;AGOSTO;;;
 ; ;AGOSTO;;;
SALARIOS;8392,30;AGOSTO;;;
INSS;325,40;AGOSTO;;;
FGTS;485,76;AGOSTO;;;
FÉRIAS;674,64;AGOSTO;;;
FGTS S/FÉRIAS;53,96;AGOSTO;;;
13 SALARIO;506,00;AGOSTO;;;
FGTS S/13 SALARIO;40,48;AGOSTO;;;
 ; ;AGOSTO;;;
DESPESAS ADMINISTRATIVAS;11871,70;AGOSTO;;;
 ; ;AGOSTO;;;
PLANO DE SAUDE;5642,44;AGOSTO;;;
COMBUSTIVEIS;1100,00;AGOSTO;;;
MANUTENÇÃO DE VEICULOS;0,00;AGOSTO;;;
MANUTENÇAO DE MAQUINAS E EQUIPAMENTOS;2238,38;AGOSTO;;;
VIAGENS E ESTADIAS;0,00;AGOSTO;;;
HONORARIOS CONTABEIS;2000,00;AGOSTO;;;
ENERGIA ELETRICA;770,98;AGOSTO;;;
TELEFONIA E INTERNET;119,90;AGOSTO;;;
BENS DE PEQUENO VALOR;0,00;AGOSTO;;;
IMPOSTOS E TAXAS;0,00;AGOSTO;;;
FRETES;0,00;AGOSTO;;;
 ; ;AGOSTO;;;
DESPESAS COM MANUTENÇAO DA FAZENDA;8541,41;AGOSTO;;;
 ; ;AGOSTO;;;
SERVIÇOS DE TERCEIROS;2050,00;AGOSTO;;;
INSTALAÇAO E MANUTENÇÃO DE CERCAS;3495,50;AGOSTO;;;
FORMAÇÃO,MANUTENÇÃO E RECUPERAÇÃO DE PASTAGEM;0,00;AGOSTO;;;
PRODUÇÃO SILAGEM;2965,91;AGOSTO;;;
MANUTENÇAO DE ESTRUTURAS FISICAS;30,00;AGOSTO;;;
 ; ;AGOSTO;;;
DESPESAS FINANCEIRAS;6646,30;AGOSTO;;;
 ; ;AGOSTO;;;
DESPESAS BANCARIAS;365,32;AGOSTO;;;
JUROS PAGOS;29,34;AGOSTO;;;
JUROS S/EMPRESTIMOS E FINANCIAMENTOS;3830,94;AGOSTO;;;
IOF S/APLICAÇÃO FINANCEIRA;110,82;AGOSTO;;;
IRRF S/APLICAÇÃO FINANCEIRA;2309,88;AGOSTO;;;
 ; ;AGOSTO;;;
RECEITAS FINANCEIRAS;-10377,10;AGOSTO;;;
 ; ;AGOSTO;;;
RENDIMENTOS S/APLICAÇÃO FINANCEIRA;-10377,10;AGOSTO;;;
 ; ;AGOSTO;;;
RESULTADO LIQUIDO DO PERIODO;29469,85;AGOSTO;;;
